Away_Abbr,Home_Abbr,Odds_Away,Odds_Home
DET,BOS,1.78,1.65
TOR,MIA,2.35,1.33
DAL,UTA,1.58,1.86
HOU,DEN,1.76,1.66
MEM,LAC,2.05,1.46
