Away_Abbr,Home_Abbr,Odds_Away,Odds_Home
CHI,CHO,1.53,1.93
ATL,DET,2.7,1.25
IND,PHI,2.35,1.33
CLE,WAS,,
UTA,MEM,2.55,1.28
BRK,DAL,2.8,1.23
MIN,GSW,2.25,1.38
