Away_Abbr,Home_Abbr,Odds_Away,Odds_Home
WAS,IND,3.1,1.18
CHO,CLE,3.5,1.12
PHI,ATL,2.2,1.4
MIL,BRK,1.62,1.82
SAC,MIN,3.5,1.12
NOP,CHI,2.3,1.35
LAL,PHO,1.7,1.73
GSW,POR,1.42,2.15
