Away_Abbr,Home_Abbr,Odds_Away,Odds_Home
POR,CLE,3.4,1.13
DEN,IND,1.23,2.8
SAS,ORL,2.85,1.22
LAC,ATL,1.96,1.5
CHO,NYK,3.1,1.18
BRK,CHI,2.85,1.22
SAC,HOU,,
DET,MIL,1.4,2.2
MIA,DAL,1.36,2.28
