Away_Abbr,Home_Abbr,Odds_Away,Odds_Home
ATL,DET,3.2,1.16
CLE,IND,1.42,2.15
MIL,WAS,1.15,3.3
CHO,BRK,1.42,2.15
LAC,MIA,2.55,1.28
CHI,ORL,3.1,1.18
DAL,DEN,3.4,1.13
HOU,UTA,1.09,3.8
PHO,LAL,2.3,1.35
