Away_Abbr,Home_Abbr,Odds_Away,Odds_Home
WAS,PHI,,
POR,TOR,2.3,1.35
NYK,BOS,1.63,1.8
MIN,NOP,1.13,3.4
MEM,SAS,2.28,1.36
OKC,GSW,,
